text;cluster
Британская полиция знает о местонахождении основателя WikiLeaks;0
В суде США начинается процесс против россиянина рассылавшего спам;2
Церемонию вручения Нобелевской премии мира бойкотируют 19 стран;2
В Великобритании арестован основатель сайта Wikileaks Джулиан Ассандж;0
Украина игнорирует церемонию вручения Нобелевской премии;2
Шведский суд отказался рассматривать апелляцию основателя Wikileaks;0
НАТО и США разработали планы обороны стран Балтии против России;2
Полиция Великобритании нашла основателя WikiLeaks но не арестовала;0
В Стокгольме и Осло сегодня состоится вручение Нобелевских премий;2
Макрон выиграл президентские выборы во Франции;1
Синоптики пообещали россиянам теплое лето;1
Глава ДНР Захарченко уточнил, как именно он ответит на убийство Моторолы;1
Машина врезалась в столб у ТЦ на Поречной улице;1
В крестном ходе у Исаакиевского собора примут участие около трех тысяч детей;1
Российский посол объяснил лишение RT аккредитации в конгрессе США;2
Посол США: Украина может потерять 3% ВВП из-за «Северного потока – 2»;2
В Госдуме готовы принять законопроект про СМИ-иноагентов;1
Как российские предприниматели внедряют новую фискальную технику;1
Электронная закладная позволит оформлять ипотеку онлайн;1
Футбол в рекламных целях выявил много спорных моментов;1
